Date,HDFCBANK,ICICIBANK,SBIN,KOTAKBANK,AXISBANK,TCS,INFY,WIPRO,HCLTECH,TECHM,SUNPHARMA,DRREDDY,CIPLA,DIVISLAB,APOLLOHOSP,NIFTY50
08-12-2023,804.5888672,994.5480347,592.1311035,366.8644714,1129.362427,3377.627441,1403.895142,197.6512299,1259.567139,1158.775757,1205.745972,1138.771484,1196.073242,3642.704102,5519.596191,20969.40039
11-12-2023,803.5181274,1000.697266,592.227478,367.9819336,1114.686401,3392.7146,1401.400146,196.7158356,1269.908813,1166.341309,1211.209595,1081.397095,1179.590698,3631.573242,5511.646973,20997.09961
12-12-2023,795.536438,999.3198853,590.4437866,364.0507813,1129.162842,3419.909424,1389.678711,197.4641418,1269.908813,1159.57959,1188.378662,1094.604736,1176.009521,3608.91626,5394.008789,20906.40039
13-12-2023,793.7357788,997.5488892,597.626709,364.4199524,1113.039063,3346.753906,1364.211548,196.2714996,1264.276245,1150.075073,1203.11145,1106.123047,1193.522339,3617.227051,5391.823242,20926.34961
14-12-2023,803.1044922,1016.980408,601.2904663,369.937561,1118.629883,3415.392578,1413.592407,203.1701202,1306.197266,1196.036499,1201.355347,1101.124512,1181.89624,3644.138672,5480.398926,21182.69922
15-12-2023,806.2192993,1020.669983,625.0084229,369.2890015,1118.530029,3595.835693,1486.039673,208.8527222,1377.019775,1235.188721,1205.697144,1104.30542,1184.299927,3657.841797,5515.472656,21456.65039
18-12-2023,805.805542,1004.977173,625.2495117,368.5606689,1109.544678,3594.159424,1472.811768,208.2447205,1389.02356,1221.61792,1222.283691,1104.621582,1193.816772,3673.672119,5463.260254,21418.65039
19-12-2023,804.4428711,999.0739136,631.9020996,368.480835,1118.430298,3554.112549,1467.115845,205.1812592,1374.249512,1211.877197,1214.673218,1113.788696,1213.733276,3684.406738,5519.744629,21453.09961
20-12-2023,806.4382324,990.4157715,613.6315308,364.4798279,1108.446533,3520.445557,1446.497437,202.0242615,1329.604614,1180.810547,1202.184692,1102.270386,1212.85022,3581.608643,5367.431641,21150.15039
21-12-2023,820.8927612,988.2020874,620.6697998,369.7080688,1093.620605,3527.383789,1446.120728,202.9830475,1313.076538,1182.229126,1203.501709,1097.400391,1198.77124,3594.174316,5440.607422,21255.05078
22-12-2023,813.178833,978.2649536,613.9207764,371.2645569,1086.532227,3561.376953,1471.446777,216.3827057,1350.611084,1205.919067,1213.405029,1111.862427,1212.261597,3655.763916,5505.734863,21349.40039
